#b0bf1a,acid green
#c9ffe5,aero blue
#b284be,african violet
#edeae0,alabaster
#f0f8ff,alice blue
#c46210,alloy orange
#efdecd,almond
#e52b50,amaranth
#f19cbb,amaranth pink
#ab274f,amaranth purple
#d3212d,amaranth red
#3b7a57,amazon
#ffbf00,amber
#9966cc,amethyst
#a4c639,android green
#cd9575,antique brass
#665d1e,antique bronze
#915c83,antique fuchsia
#841b2d,antique ruby
#faebd7,antique white
#8db600,apple green
#fbceb1,apricot
#7fffd4,aquamarine
#d0ff14,arctic lime
#4b5320,army green
#8f9779,artichoke
#b2beb5,ash gray
#87a96b,asparagus
#ff9966,atomic tangerine
#a52a2a,auburn
#fdee00,aureolin
#007fff,azure
#89cff0,baby blue
#a1caf1,baby blue eyes
#fefefa,baby powder
#fae7b5,banana mania
#da1884,barbie pink
#7c0a02,barn red
#9f8170,beaver
#f5f5dc,beige
#ffe4c4,bisque
#3d2b1f,bistre
#cae00d,bitter lemon
#fe6f5e,bittersweet
#000000,black
#3d0c02,black bean
#1b1811,black chocolate
#3b2f2f,black coffee
#54626f,black coral
#3b3c36,black olive
#bfafb2,black shadows
#ffebcd,blanched almond
#318ce7,bleu de france
#ace5ee,blizzard blue
#faf0be,blond
#660000,blood red
#0000ff,blue
#a2a2d0,blue bell
#5dadec,blue jeans
#126180,blue sapphire
#5072a7,blue yonder
#0d98ba,blue-green
#8a2be2,blue-violet
#3c69e7,bluetiful
#de5d83,blush
#79443b,bole
#e3dac9,bone
#006a4e,bottle green
#87413f,brandy
#cb4154,brick red
#66ff00,bright green
#d891ef,bright lilac
#ff55a3,brilliant rose
#fb607f,brink pink
#004225,british racing green
#cd7f32,bronze
#88540b,brown
#af6e4d,brown sugar
#7bb661,bud green
#f0dc82,buff
#deb887,burlywood
#a17a74,burnished brown
#cc5500,burnt orange
#e97451,burnt sienna
#8a3324,burnt umber
#bd33a4,byzantine
#536872,cadet
#5f9ea0,cadet blue
#91a3b0,cadet grey
#006b3c,cadmium green
#ed872d,cadmium orange
#e30022,cadmium red
#fff600,cadmium yellow
#a3c1ad,cambridge blue
#efbbcc,cameo pink
#ffff99,canary
#ff0800,candy apple red
#592720,caput mortuum
#c41e3a,cardinal
#00cc99,caribbean green
#960018,carmine
#ffa6c9,carnation pink
#b31b1b,carnelian
