Acct,Vendor,Material,Material_Description,Image,ImageNum
152,Saroj Fabrics,Brocade,Pinkish red with fuschia pink and zari brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.42PM_6.jpg?v=1616047022,1
,,,,,
154,Saroj Fabrics,Brocade,Mauve purple with gold brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.42PM_1.jpg?v=1615984549,1
,,,,,
156,Saroj Fabrics,Embroidered Cotton,White embroided and cut work on cotton,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-11at5.57.37PM_26.jpg?v=1615976213,1
,,,,,
159,Saroj Fabrics,Embroidered Chanderi,Dark green with white and yello bhandi and gold flower embroidery on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-12at3.38.10PM_1.jpg?v=1615973362,1
,,,,,
161,Saroj Fabrics,Embroidered Chanderi,Mustard yellow with white and pink bhandhani and gold embroidery on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-12at3.38.07PM.jpg?v=1615972302,1
,,,,,
163,Saroj Fabrics,Embroidered Chanderi,Midnight Blue with white and pink bhandhni and gold flower embroidery on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-12at3.38.06PM_1.jpg?v=1615972079,1
,,,,,
165,Saroj Fabrics,Embroidered Chanderi,Navy blue with white and pink bandhani and gold long motif embroidery on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-12at3.38.04PM_2.jpg?v=1615971598,1
,,,,,
192,Saroj Fabrics,Brocade,"Parrot green with turquoise, gold and purple brocade in marquis shape on silk",https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.13PM_1.jpg?v=1615309702,1
,,,,,
193,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.13PM.jpg?v=1615309702,2
,,,,,
194,Saroj Fabrics,Brocade,Aubergine purple with mutted and bright gold flower motif brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_8.jpg?v=1615309654,1
,,,,,
195,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_7.jpg?v=1615309654,2
,,,,,
196,Saroj Fabrics,Brocade,Royal blue with mutted and bright gold flower motif brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_5.jpg?v=1615309534,1
,,,,,
197,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_4.jpg?v=1615309534,2
,,,,,
198,Saroj Fabrics,Brocade,Teal with silver and gold flower with stem brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.47.26PM_16.jpg?v=1615309494,1
,,,,,
199,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.47.26PM_15.jpg?v=1615309494,2
,,,,,
200,Saroj Fabrics,Brocade,Taupe with silver and gold flower with stem brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_11.jpg?v=1615309217,1
,,,,,
201,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_10.jpg?v=1615309217,2
,,,,,
202,Saroj Fabrics,Brocade,Black with silver and gold flower with stem brocade silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_2.jpg?v=1615309031,1
,,,,,
203,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_1.jpg?v=1615309031,2
,,,,,
